Object Type,Object Name,Data Source,Time Period,Category,Data Item,Statistic Type,Value
Combiner,Assemble_2,Processing,Run,Content,NumberInStation,Average,0.000973722843584852
Combiner,Assemble_2,Processing,Run,Content,NumberInStation,Maximum,1
Combiner,Assemble_2,Processing,Run,Content,NumberInStation,Minimum,0
Combiner,Assemble_2,Processing,Run,HoldingTime,TimeInStation,Average,0.00277801568184325
Combiner,Assemble_2,Processing,Run,HoldingTime,TimeInStation,Maximum,0.00328381590190929
Combiner,Assemble_2,Processing,Run,HoldingTime,TimeInStation,Minimum,0.00225740532511054
Combiner,Assemble_2,Processing,Run,Throughput,NumberEntered,Total,687
Combiner,Assemble_2,Processing,Run,Throughput,NumberExited,Total,687
Combiner,Assemble_3,[Resource],Run,Capacity,ScheduledUtilization,Percent,0.0889712283675111
Combiner,Assemble_3,[Resource],Run,Capacity,UnitsAllocated,Total,629
Combiner,Assemble_3,[Resource],Run,Capacity,UnitsScheduled,Average,1
Combiner,Assemble_3,[Resource],Run,Capacity,UnitsScheduled,Maximum,1
Combiner,Assemble_3,[Resource],Run,Capacity,UnitsScheduled,Minimum,1
Combiner,Assemble_3,[Resource],Run,Capacity,UnitsUtilized,Average,0.000889712283675111
Combiner,Assemble_3,[Resource],Run,Capacity,UnitsUtilized,Maximum,1
Combiner,Assemble_3,[Resource],Run,Capacity,UnitsUtilized,Minimum,0
Combiner,Assemble_3,[Resource],Run,ResourceState,TimeProcessing,Average,0.00607608388851295
Combiner,Assemble_3,[Resource],Run,ResourceState,TimeProcessing,Occurrences,287
Combiner,Assemble_3,[Resource],Run,ResourceState,TimeProcessing,Percent,0.0889712283675111
Combiner,Assemble_3,[Resource],Run,ResourceState,TimeProcessing,Total,1.74383607600322
Combiner,Assemble_3,[Resource],Run,ResourceState,TimeStarved,Average,6.79950056918054
Combiner,Assemble_3,[Resource],Run,ResourceState,TimeStarved,Occurrences,288
Combiner,Assemble_3,[Resource],Run,ResourceState,TimeStarved,Percent,99.9110287716325
Combiner,Assemble_3,[Resource],Run,ResourceState,TimeStarved,Total,1958.256163924
Combiner,Assemble_3,MemberInputBuffer,Run,Throughput,NumberEntered,Total,2516
Combiner,Assemble_3,MemberInputBuffer,Run,Throughput,NumberExited,Total,2516
Combiner,Assemble_3,OutputBuffer,Run,Throughput,NumberEntered,Total,629
Combiner,Assemble_3,OutputBuffer,Run,Throughput,NumberExited,Total,629
Combiner,Assemble_3,ParentInputBuffer,Run,Content,NumberInStation,Average,0.000864820436969688
Combiner,Assemble_3,ParentInputBuffer,Run,Content,NumberInStation,Maximum,5
Combiner,Assemble_3,ParentInputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,Assemble_3,ParentInputBuffer,Run,HoldingTime,TimeInStation,Average,0.0026948299784747
Combiner,Assemble_3,ParentInputBuffer,Run,HoldingTime,TimeInStation,Maximum,0.0107682820778336
Combiner,Assemble_3,ParentInputBuffer,Run,HoldingTime,TimeInStation,Minimum,0.00144861111107275
Combiner,Assemble_3,ParentInputBuffer,Run,Throughput,NumberEntered,Total,629
Combiner,Assemble_3,ParentInputBuffer,Run,Throughput,NumberExited,Total,629
Combiner,Assemble_3,Processing,Run,Content,NumberInStation,Average,0.000889712283675111
Combiner,Assemble_3,Processing,Run,Content,NumberInStation,Maximum,1
Combiner,Assemble_3,Processing,Run,Content,NumberInStation,Minimum,0
Combiner,Assemble_3,Processing,Run,HoldingTime,TimeInStation,Average,0.0027723943974614
Combiner,Assemble_3,Processing,Run,HoldingTime,TimeInStation,Maximum,0.00329159105757526
Combiner,Assemble_3,Processing,Run,HoldingTime,TimeInStation,Minimum,0.00222751747560324
Combiner,Assemble_3,Processing,Run,Throughput,NumberEntered,Total,629
Combiner,Assemble_3,Processing,Run,Throughput,NumberExited,Total,629
Combiner,Attach_BP_1,[Resource],Run,Capacity,ScheduledUtilization,Percent,5.02458921009399
Combiner,Attach_BP_1,[Resource],Run,Capacity,UnitsAllocated,Total,1982
Combiner,Attach_BP_1,[Resource],Run,Capacity,UnitsScheduled,Average,1
Combiner,Attach_BP_1,[Resource],Run,Capacity,UnitsScheduled,Maximum,1
Combiner,Attach_BP_1,[Resource],Run,Capacity,UnitsScheduled,Minimum,1
Combiner,Attach_BP_1,[Resource],Run,Capacity,UnitsUtilized,Average,0.0502458921009399
Combiner,Attach_BP_1,[Resource],Run,Capacity,UnitsUtilized,Maximum,1
Combiner,Attach_BP_1,[Resource],Run,Capacity,UnitsUtilized,Minimum,0
Combiner,Attach_BP_1,[Resource],Run,ResourceState,TimeProcessing,Average,0.390801383007311
Combiner,Attach_BP_1,[Resource],Run,ResourceState,TimeProcessing,Occurrences,252
Combiner,Attach_BP_1,[Resource],Run,ResourceState,TimeProcessing,Percent,5.02458921009399
Combiner,Attach_BP_1,[Resource],Run,ResourceState,TimeProcessing,Total,98.4819485178423
Combiner,Attach_BP_1,[Resource],Run,ResourceState,TimeStarved,Average,7.35777885961327
Combiner,Attach_BP_1,[Resource],Run,ResourceState,TimeStarved,Occurrences,253
Combiner,Attach_BP_1,[Resource],Run,ResourceState,TimeStarved,Percent,94.975410789906
Combiner,Attach_BP_1,[Resource],Run,ResourceState,TimeStarved,Total,1861.51805148216
Combiner,Attach_BP_1,MemberInputBuffer,Run,Throughput,NumberEntered,Total,3964
Combiner,Attach_BP_1,MemberInputBuffer,Run,Throughput,NumberExited,Total,3964
Combiner,Attach_BP_1,OutputBuffer,Run,Throughput,NumberEntered,Total,1982
Combiner,Attach_BP_1,OutputBuffer,Run,Throughput,NumberExited,Total,1982
Combiner,Attach_BP_1,ParentInputBuffer,Run,Content,NumberInStation,Average,0.295017324086368
Combiner,Attach_BP_1,ParentInputBuffer,Run,Content,NumberInStation,Maximum,28
Combiner,Attach_BP_1,ParentInputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,Attach_BP_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Average,0.291742661558668
Combiner,Attach_BP_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Maximum,2.05408002418967
Combiner,Attach_BP_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Minimum,0.00103055555553055
Combiner,Attach_BP_1,ParentInputBuffer,Run,Throughput,NumberEntered,Total,1982
Combiner,Attach_BP_1,ParentInputBuffer,Run,Throughput,NumberExited,Total,1982
Combiner,Attach_BP_1,Processing,Run,Content,NumberInStation,Average,0.0502458921009399
Combiner,Attach_BP_1,Processing,Run,Content,NumberInStation,Maximum,1
Combiner,Attach_BP_1,Processing,Run,Content,NumberInStation,Minimum,0
Combiner,Attach_BP_1,Processing,Run,HoldingTime,TimeInStation,Average,0.0496881677688407
Combiner,Attach_BP_1,Processing,Run,HoldingTime,TimeInStation,Maximum,0.181128801974353
Combiner,Attach_BP_1,Processing,Run,HoldingTime,TimeInStation,Minimum,0.0230238489317145
Combiner,Attach_BP_1,Processing,Run,Throughput,NumberEntered,Total,1982
Combiner,Attach_BP_1,Processing,Run,Throughput,NumberExited,Total,1982
Combiner,BP_Paint_1,[Resource],Run,Capacity,ScheduledUtilization,Percent,0
Combiner,BP_Paint_1,[Resource],Run,Capacity,UnitsAllocated,Total,6632
Combiner,BP_Paint_1,[Resource],Run,Capacity,UnitsScheduled,Average,0.214285714285714
Combiner,BP_Paint_1,[Resource],Run,Capacity,UnitsScheduled,Maximum,1
Combiner,BP_Paint_1,[Resource],Run,Capacity,UnitsScheduled,Minimum,0
Combiner,BP_Paint_1,[Resource],Run,Capacity,UnitsUtilized,Average,0
Combiner,BP_Paint_1,[Resource],Run,Capacity,UnitsUtilized,Maximum,1
Combiner,BP_Paint_1,[Resource],Run,Capacity,UnitsUtilized,Minimum,0
Combiner,BP_Paint_1,[Resource],Run,ResourceState,TimeOffShift,Average,12.7272727272727
Combiner,BP_Paint_1,[Resource],Run,ResourceState,TimeOffShift,Occurrences,121
Combiner,BP_Paint_1,[Resource],Run,ResourceState,TimeOffShift,Percent,78.5714285714286
Combiner,BP_Paint_1,[Resource],Run,ResourceState,TimeOffShift,Total,1540
Combiner,BP_Paint_1,[Resource],Run,ResourceState,TimeStarved,Average,3.5
Combiner,BP_Paint_1,[Resource],Run,ResourceState,TimeStarved,Occurrences,120
Combiner,BP_Paint_1,[Resource],Run,ResourceState,TimeStarved,Percent,21.4285714285714
Combiner,BP_Paint_1,[Resource],Run,ResourceState,TimeStarved,Total,420
Combiner,BP_Paint_1,MemberInputBuffer,Run,Content,NumberInStation,Average,0.00711309449568738
Combiner,BP_Paint_1,MemberInputBuffer,Run,Content,NumberInStation,Maximum,1
Combiner,BP_Paint_1,MemberInputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,BP_Paint_1,MemberInputBuffer,Run,HoldingTime,TimeInStation,Average,0.00210218112357468
Combiner,BP_Paint_1,MemberInputBuffer,Run,HoldingTime,TimeInStation,Maximum,0.999808994599562
Combiner,BP_Paint_1,MemberInputBuffer,Run,HoldingTime,TimeInStation,Minimum,0
Combiner,BP_Paint_1,MemberInputBuffer,Run,Throughput,NumberEntered,Total,6632
Combiner,BP_Paint_1,MemberInputBuffer,Run,Throughput,NumberExited,Total,6632
Combiner,BP_Paint_1,OutputBuffer,Run,Content,NumberInStation,Average,0.0311638110369586
Combiner,BP_Paint_1,OutputBuffer,Run,Content,NumberInStation,Maximum,12
Combiner,BP_Paint_1,OutputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,BP_Paint_1,OutputBuffer,Run,HoldingTime,TimeInStation,Average,0.00921005271900464
Combiner,BP_Paint_1,OutputBuffer,Run,HoldingTime,TimeInStation,Maximum,0.132717026165319
Combiner,BP_Paint_1,OutputBuffer,Run,HoldingTime,TimeInStation,Minimum,0.00559400276551969
Combiner,BP_Paint_1,OutputBuffer,Run,Throughput,NumberEntered,Total,6632
Combiner,BP_Paint_1,OutputBuffer,Run,Throughput,NumberExited,Total,6632
Combiner,BP_Paint_1,ParentInputBuffer,Run,Content,NumberInStation,Average,0.00997511830532868
Combiner,BP_Paint_1,ParentInputBuffer,Run,Content,NumberInStation,Maximum,1
Combiner,BP_Paint_1,ParentInputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,BP_Paint_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Average,0.00294801445694273
Combiner,BP_Paint_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Maximum,1.00065482793298
Combiner,BP_Paint_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Minimum,0.000845833333301016
Combiner,BP_Paint_1,ParentInputBuffer,Run,Throughput,NumberEntered,Total,6632
Combiner,BP_Paint_1,ParentInputBuffer,Run,Throughput,NumberExited,Total,6632
Combiner,BP_Paint_1,Processing,Run,Throughput,NumberEntered,Total,6632
Combiner,BP_Paint_1,Processing,Run,Throughput,NumberExited,Total,6632
Combiner,BP_Paint_2,[Resource],Run,Capacity,ScheduledUtilization,Percent,0
Combiner,BP_Paint_2,[Resource],Run,Capacity,UnitsAllocated,Total,6645
Combiner,BP_Paint_2,[Resource],Run,Capacity,UnitsScheduled,Average,0.214285714285714
Combiner,BP_Paint_2,[Resource],Run,Capacity,UnitsScheduled,Maximum,1
Combiner,BP_Paint_2,[Resource],Run,Capacity,UnitsScheduled,Minimum,0
Combiner,BP_Paint_2,[Resource],Run,Capacity,UnitsUtilized,Average,0
Combiner,BP_Paint_2,[Resource],Run,Capacity,UnitsUtilized,Maximum,1
Combiner,BP_Paint_2,[Resource],Run,Capacity,UnitsUtilized,Minimum,0
Combiner,BP_Paint_2,[Resource],Run,ResourceState,TimeOffShift,Average,12.7272727272727
Combiner,BP_Paint_2,[Resource],Run,ResourceState,TimeOffShift,Occurrences,121
Combiner,BP_Paint_2,[Resource],Run,ResourceState,TimeOffShift,Percent,78.5714285714286
Combiner,BP_Paint_2,[Resource],Run,ResourceState,TimeOffShift,Total,1540
Combiner,BP_Paint_2,[Resource],Run,ResourceState,TimeStarved,Average,3.5
Combiner,BP_Paint_2,[Resource],Run,ResourceState,TimeStarved,Occurrences,120
Combiner,BP_Paint_2,[Resource],Run,ResourceState,TimeStarved,Percent,21.4285714285714
Combiner,BP_Paint_2,[Resource],Run,ResourceState,TimeStarved,Total,420
Combiner,BP_Paint_2,MemberInputBuffer,Run,Content,NumberInStation,Average,0.0050846126416666
Combiner,BP_Paint_2,MemberInputBuffer,Run,Content,NumberInStation,Maximum,1
Combiner,BP_Paint_2,MemberInputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,BP_Paint_2,MemberInputBuffer,Run,HoldingTime,TimeInStation,Average,0.00149975030514169
Combiner,BP_Paint_2,MemberInputBuffer,Run,HoldingTime,TimeInStation,Maximum,0.999270052981331
Combiner,BP_Paint_2,MemberInputBuffer,Run,HoldingTime,TimeInStation,Minimum,0
Combiner,BP_Paint_2,MemberInputBuffer,Run,Throughput,NumberEntered,Total,6645
Combiner,BP_Paint_2,MemberInputBuffer,Run,Throughput,NumberExited,Total,6645
Combiner,BP_Paint_2,OutputBuffer,Run,Content,NumberInStation,Average,0.0351273467465129
Combiner,BP_Paint_2,OutputBuffer,Run,Content,NumberInStation,Maximum,12
Combiner,BP_Paint_2,OutputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,BP_Paint_2,OutputBuffer,Run,HoldingTime,TimeInStation,Average,0.0103611135625531
Combiner,BP_Paint_2,OutputBuffer,Run,HoldingTime,TimeInStation,Maximum,0.134393352137699
Combiner,BP_Paint_2,OutputBuffer,Run,HoldingTime,TimeInStation,Minimum,0.00580090929906874
Combiner,BP_Paint_2,OutputBuffer,Run,Throughput,NumberEntered,Total,6645
Combiner,BP_Paint_2,OutputBuffer,Run,Throughput,NumberExited,Total,6645
Combiner,BP_Paint_2,ParentInputBuffer,Run,Content,NumberInStation,Average,0.00631830736943957
Combiner,BP_Paint_2,ParentInputBuffer,Run,Content,NumberInStation,Maximum,1
Combiner,BP_Paint_2,ParentInputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,BP_Paint_2,ParentInputBuffer,Run,HoldingTime,TimeInStation,Average,0.00186363919399572
Combiner,BP_Paint_2,ParentInputBuffer,Run,HoldingTime,TimeInStation,Maximum,0.999633941870229
Combiner,BP_Paint_2,ParentInputBuffer,Run,HoldingTime,TimeInStation,Minimum,0.000363888888841757
Combiner,BP_Paint_2,ParentInputBuffer,Run,Throughput,NumberEntered,Total,6645
Combiner,BP_Paint_2,ParentInputBuffer,Run,Throughput,NumberExited,Total,6645
Combiner,BP_Paint_2,Processing,Run,Throughput,NumberEntered,Total,6645
Combiner,BP_Paint_2,Processing,Run,Throughput,NumberExited,Total,6645
Combiner,FA_Assemble_1,[Resource],Run,Capacity,ScheduledUtilization,Percent,94.4108190518375
Combiner,FA_Assemble_1,[Resource],Run,Capacity,UnitsAllocated,Total,12153
Combiner,FA_Assemble_1,[Resource],Run,Capacity,UnitsScheduled,Average,0.214285714285714
Combiner,FA_Assemble_1,[Resource],Run,Capacity,UnitsScheduled,Maximum,1
Combiner,FA_Assemble_1,[Resource],Run,Capacity,UnitsScheduled,Minimum,0
Combiner,FA_Assemble_1,[Resource],Run,Capacity,UnitsUtilized,Average,0.202308897968223
Combiner,FA_Assemble_1,[Resource],Run,Capacity,UnitsUtilized,Maximum,1
Combiner,FA_Assemble_1,[Resource],Run,Capacity,UnitsUtilized,Minimum,0
Combiner,FA_Assemble_1,[Resource],Run,ResourceState,TimeOffShift,Average,12.7272727272727
Combiner,FA_Assemble_1,[Resource],Run,ResourceState,TimeOffShift,Occurrences,121
Combiner,FA_Assemble_1,[Resource],Run,ResourceState,TimeOffShift,Percent,78.5714285714286
Combiner,FA_Assemble_1,[Resource],Run,ResourceState,TimeOffShift,Total,1540
Combiner,FA_Assemble_1,[Resource],Run,ResourceState,TimeProcessing,Average,3.27706975221254
Combiner,FA_Assemble_1,[Resource],Run,ResourceState,TimeProcessing,Occurrences,121
Combiner,FA_Assemble_1,[Resource],Run,ResourceState,TimeProcessing,Percent,20.2308897968223
Combiner,FA_Assemble_1,[Resource],Run,ResourceState,TimeProcessing,Total,396.525440017718
Combiner,FA_Assemble_1,[Resource],Run,ResourceState,TimeStarved,Average,1.06702545374011
Combiner,FA_Assemble_1,[Resource],Run,ResourceState,TimeStarved,Occurrences,22
Combiner,FA_Assemble_1,[Resource],Run,ResourceState,TimeStarved,Percent,1.1976816317491
Combiner,FA_Assemble_1,[Resource],Run,ResourceState,TimeStarved,Total,23.4745599822824
Combiner,FA_Assemble_1,MemberInputBuffer,Run,Content,NumberInStation,Average,0.710448251804463
Combiner,FA_Assemble_1,MemberInputBuffer,Run,Content,NumberInStation,Maximum,6
Combiner,FA_Assemble_1,MemberInputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,FA_Assemble_1,MemberInputBuffer,Run,HoldingTime,TimeInStation,Average,0.0314844631685464
Combiner,FA_Assemble_1,MemberInputBuffer,Run,HoldingTime,TimeInStation,Maximum,63.9932208568497
Combiner,FA_Assemble_1,MemberInputBuffer,Run,HoldingTime,TimeInStation,Minimum,0
Combiner,FA_Assemble_1,MemberInputBuffer,Run,Throughput,NumberEntered,Total,42900
Combiner,FA_Assemble_1,MemberInputBuffer,Run,Throughput,NumberExited,Total,42894
Combiner,FA_Assemble_1,OutputBuffer,Run,Content,NumberInStation,Average,0.0132070314148424
Combiner,FA_Assemble_1,OutputBuffer,Run,Content,NumberInStation,Maximum,1
Combiner,FA_Assemble_1,OutputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,FA_Assemble_1,OutputBuffer,Run,HoldingTime,TimeInStation,Average,0.00213016635723264
Combiner,FA_Assemble_1,OutputBuffer,Run,HoldingTime,TimeInStation,Maximum,0.0295822565054624
Combiner,FA_Assemble_1,OutputBuffer,Run,HoldingTime,TimeInStation,Minimum,0.00212786762855899
Combiner,FA_Assemble_1,OutputBuffer,Run,Throughput,NumberEntered,Total,12152
Combiner,FA_Assemble_1,OutputBuffer,Run,Throughput,NumberExited,Total,12152
Combiner,FA_Assemble_1,ParentInputBuffer,Run,Content,NumberInStation,Average,1180.54681222245
Combiner,FA_Assemble_1,ParentInputBuffer,Run,Content,NumberInStation,Maximum,2147
Combiner,FA_Assemble_1,ParentInputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,FA_Assemble_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Average,167.132232238623
Combiner,FA_Assemble_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Maximum,328.653381848357
Combiner,FA_Assemble_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Minimum,0.000930555555555657
Combiner,FA_Assemble_1,ParentInputBuffer,Run,Throughput,NumberEntered,Total,14300
Combiner,FA_Assemble_1,ParentInputBuffer,Run,Throughput,NumberExited,Total,12153
Combiner,FA_Assemble_1,Processing,Run,Content,NumberInStation,Average,0.896696653070264
Combiner,FA_Assemble_1,Processing,Run,Content,NumberInStation,Maximum,1
Combiner,FA_Assemble_1,Processing,Run,Content,NumberInStation,Minimum,0
Combiner,FA_Assemble_1,Processing,Run,HoldingTime,TimeInStation,Average,0.144051565448452
Combiner,FA_Assemble_1,Processing,Run,HoldingTime,TimeInStation,Maximum,64.0366809161908
Combiner,FA_Assemble_1,Processing,Run,HoldingTime,TimeInStation,Minimum,0.0258022652353702
Combiner,FA_Assemble_1,Processing,Run,Throughput,NumberEntered,Total,12153
Combiner,FA_Assemble_1,Processing,Run,Throughput,NumberExited,Total,12152
Combiner,Paint_1_1,[Resource],Run,Capacity,ScheduledUtilization,Percent,4.10475303604881
Combiner,Paint_1_1,[Resource],Run,Capacity,UnitsAllocated,Total,656
Combiner,Paint_1_1,[Resource],Run,Capacity,UnitsScheduled,Average,1
Combiner,Paint_1_1,[Resource],Run,Capacity,UnitsScheduled,Maximum,1
Combiner,Paint_1_1,[Resource],Run,Capacity,UnitsScheduled,Minimum,1
Combiner,Paint_1_1,[Resource],Run,Capacity,UnitsUtilized,Average,0.0410475303604881
Combiner,Paint_1_1,[Resource],Run,Capacity,UnitsUtilized,Maximum,1
Combiner,Paint_1_1,[Resource],Run,Capacity,UnitsUtilized,Minimum,0
Combiner,Paint_1_1,[Resource],Run,ResourceState,TimeProcessing,Average,1.34088599177594
Combiner,Paint_1_1,[Resource],Run,ResourceState,TimeProcessing,Occurrences,60
Combiner,Paint_1_1,[Resource],Run,ResourceState,TimeProcessing,Percent,4.10475303604881
Combiner,Paint_1_1,[Resource],Run,ResourceState,TimeProcessing,Total,80.4531595065567
Combiner,Paint_1_1,[Resource],Run,ResourceState,TimeStarved,Average,30.8122432867778
Combiner,Paint_1_1,[Resource],Run,ResourceState,TimeStarved,Occurrences,61
Combiner,Paint_1_1,[Resource],Run,ResourceState,TimeStarved,Percent,95.8952469639512
Combiner,Paint_1_1,[Resource],Run,ResourceState,TimeStarved,Total,1879.54684049344
Combiner,Paint_1_1,MemberInputBuffer,Run,Throughput,NumberEntered,Total,656
Combiner,Paint_1_1,MemberInputBuffer,Run,Throughput,NumberExited,Total,656
Combiner,Paint_1_1,OutputBuffer,Run,Throughput,NumberEntered,Total,656
Combiner,Paint_1_1,OutputBuffer,Run,Throughput,NumberExited,Total,656
Combiner,Paint_1_1,ParentInputBuffer,Run,Content,NumberInStation,Average,0.211353011766879
Combiner,Paint_1_1,ParentInputBuffer,Run,Content,NumberInStation,Maximum,20
Combiner,Paint_1_1,ParentInputBuffer,Run,Content,NumberInStation,Minimum,0
Combiner,Paint_1_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Average,0.631481559547382
Combiner,Paint_1_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Maximum,2.85643319475241
Combiner,Paint_1_1,ParentInputBuffer,Run,HoldingTime,TimeInStation,Minimum,0.000720833333332394
Combiner,Paint_1_1,ParentInputBuffer,Run,Throughput,NumberEntered,Total,656
Combiner,Paint_1_1,ParentInputBuffer,Run,Throughput,NumberExited,Total,656
Combiner,Paint_1_1,Processing,Run,Content,NumberInStation,Average,0.0410475303604881
Combiner,Paint_1_1,Processing,Run,Content,NumberInStation,Maximum,1
Combiner,Paint_1_1,Processing,Run,Content,NumberInStation,Minimum,0
