Producto;Estacion;Minutos
B22;Sand_3;7.2
B22;Assemble_1;4.13
B22_SA;SA_Assemble_1;2.17
B22_FA;FA_Assemble_1;1.93
B22_SA;SA_Cut_1;2.33
B22_SA;SA_Routing_1;0.53
B22_BP;BP_Paint_1;2.7
B22_SA;SA_Drill_3;5.52
B23_FA;FA_Cut_1;4.28
;BP_Sand_2;3.13
B22_BP;BP_Cut_1;2.28
B22_BP;BP_Drill_2;-63507411.28
B22;Paint_3;6.4
B22_SA;SA_Assemble_2;2.08
B22_BP;BP_Paint_2;2.63
;FA_Drill_3;-63507412.17
B22;Assemble_3;63507416.28
B22_FA;FA_Assemble_1;63507414.27
B22;;7.15
B22_BP;BP_Sand_1;3.27
B22_SA;SA_Cut_1;2.27
B22_SA;SA_Routing_1;0.52
B23_FA;FA_Cut_2;4.28
B22_FA;FA_Drill_2;63507418.55
B22_SA;SA_Drill_1;5.42
B22_FA;FA_Drill_1;5.83
B22_BP;BP_Cut_1;2.27
B22_BP;BP_Drill_3;5.87
B22;Assemble_2;63507418.03
B22;Sand_4;6.1
B22_BP;BP_Paint_1;2.22
B22_FA;FA_Assemble_1;1.82
B22;Paint_1;5.27
B22_SA;SA_Cut_1;2.38
B22_SA;SA_Routing_1;0.5
B22_SA;SA_Assemble_1;-63507414.95
B22_BP;BP_Sand_2;3.52
B23_FA;FA_Cut_1;4.37
B22_SA;SA_Drill_2;-63507415.4
B22_BP;BP_Paint_2;2.23
B22_BP;BP_Cut_1;-63507415.95
B22_BP;BP_Drill_1;63507421.18
B22;Sand_2;6.68
B22_SA;SA_Assemble_2;2.4
B22_FA;FA_Assemble_1;1.83
B22_BP;BP_Sand_1;3.13
B22;Paint_2;5.55
B23_FA;FA_Cut_2;4.32
B22;Assemble_1;4.22
B22_SA;SA_Cut_1;2.05
B22_SA;;0.48
B22_SA;SA_Drill_3;5.25
B23_BP;BP_Cut_1;2.67
B22_BP;;5.48
B22;Sand_3;7.8
B23_FA;FA_Drill_3;7
B23_FA;FA_Drill_2;7.93
B22_SA;SA_Assemble_1;2.18
B22_BP;BP_Paint_1;2.4
B22_FA;FA_Assemble_1;1.87
B22;Assemble_2;4.48
B22_SA;SA_Cut_1;2.07
B22_SA;SA_Routing_1;0.5
B22_BP;BP_Sand_2;3.33
B22;Paint_3;5.98
B23_FA;FA_Drill_1;6.65
B23_FA;FA_Cut_1;4.08
B22;;57.33
B22_SA;SA_Drill_1;5.78
B22_BP;BP_Paint_2;2.5
B22;Paint_1;4.78
B23_BP;BP_Cut_1;2.43
B23_BP;BP_Drill_3;7.43
B22_FA;FA_Assemble_1;1.65
B22_SA;SA_Assemble_2;2.13
B22;Assemble_3;4.97
B22_BP;BP_Sand_1;3.55
B22;Sand_1;6.55
B23_FA;FA_Cut_2;4.07
B23_SA;SA_Cut_1;2.98
B22_SA;SA_Routing_1;0.55
B22_SA;SA_Drill_2;5.58
;FA_Assemble_1;-63507422.67
B22_BP;BP_Paint_1;2.67
B22;Paint_2;-63507423.18
B22;Assemble_1;4.52
B23_BP;BP_Cut_1;2.4
B23_BP;;8.3
B22_SA;SA_Assemble_1;1.97
B22;Sand_2;6.77
B22_BP;;3.52
B23_FA;FA_Cut_1;4.18
B23_SA;SA_Cut_1;3.05
B23_SA;SA_Routing_1;0.72
B22_BP;BP_Paint_2;2.55
B22;Assemble_2;-63507425.42
B23_SA;SA_Drill_3;11.15
B23_FA;FA_Drill_3;7.25
;FA_Cut_2;4.33
B23_BP;BP_Cut_1;2.45
B23_BP;BP_Drill_2;8.75
B23_FA;FA_Assemble_1;1.97
B22_SA;SA_Assemble_1;1.95
B22;Sand_3;7.55
B22;Paint_1;5.42
B23_FA;FA_Drill_1;6.7
B23_FA;FA_Drill_2;7.92
B22_BP;BP_Paint_1;2.47
B23_SA;;3.12
B23_SA;SA_Routing_1;0.72
B22;Sand_4;6.8
B22_SA;SA_Assemble_2;-63507427.98
B23_FA;FA_Assemble_1;1.85
B22;Assemble_1;-63507428.02
B22;Paint_2;6.08
B23_BP;BP_Cut_1;2.88
B23_BP;BP_Drill_3;7.38
B23_FA;FA_Cut_1;4.1
B23_BP;BP_Sand_1;5.02
B23_SA;SA_Drill_1;8.7
B23_FA;FA_Assemble_1;1.75
B22;Sand_1;6.93
B23_FA;FA_Cut_2;4.12
B22;;5.23
B22;Assemble_2;4.42
B23_SA;SA_Cut_1;2.82
B23_SA;SA_Routing_1;0.75
B23_BP;BP_Cut_1;63507433.78
B23_BP;BP_Drill_1;9.45
B23_BP;BP_Sand_2;63507436.33
B23_SA;SA_Drill_2;10.67
B22;Sand_2;7.9
B23_FA;FA_Cut_1;4.22
B23_FA;FA_Drill_3;6.57
;FA_Assemble_1;1.78
B23_FA;FA_Drill_1;63507440.73
B23_BP;BP_Paint_1;3.43
B22;Paint_1;5.68
B23_SA;SA_Cut_1;3.33
B23_SA;SA_Routing_1;0.67
B23_BP;BP_Cut_1;-63507433.87
B23_FA;FA_Cut_2;4.07
B23_BP;BP_Drill_2;8.77
;FA_Drill_2;6.87
B23_BP;BP_Sand_1;4.53
B22;Paint_2;5.2
B22;Sand_3;6.9
B23_FA;FA_Assemble_1;1.73
B23_BP;BP_Sand_2;4.53
B23_BP;BP_Paint_2;3.27
B23_BP;BP_Cut_1;2.7
B23_BP;BP_Drill_3;-63507436.58
B23_SA;SA_Drill_3;9.9
B23_FA;FA_Cut_1;3.82
B23_SA;SA_Assemble_1;4
B23_FA;FA_Assemble_1;1.73
B22;Paint_3;5.35
B23_SA;SA_Cut_1;3.67
B23_SA;SA_Routing_1;0.75
B23_SA;SA_Assemble_2;63507441.35
B23_SA;SA_Drill_1;8.73
B23_FA;;4.7
B23_BP;BP_Paint_1;3.65
B23_BP;BP_Cut_1;2.43
B23_FA;FA_Drill_3;7.9
B23_FA;FA_Assemble_1;1.83
B22;Paint_1;6.25
B23_FA;FA_Cut_1;4.55
B23_FA;FA_Drill_1;6.53
B23;Assemble_1;7.23
B23_SA;SA_Cut_1;3.28
B23_SA;SA_Routing_1;-63507441.03
B23_BP;BP_Paint_2;3.7
B23_BP;BP_Drill_1;8.1
B23_BP;BP_Sand_1;4.75
B23;Assemble_2;63507448.1
B23_FA;FA_Drill_2;7.53
B23_FA;FA_Assemble_1;1.67
B23_BP;BP_Cut_1;2.88
;Paint_2;5.1
B23_SA;SA_Drill_2;10.13
B23_SA;SA_Assemble_1;4.03
B23_FA;FA_Cut_2;-63507443.33
B23_BP;;9.03
B23_BP;BP_Sand_2;5.1
B22;Attach_BP_1;1.7
B23_FA;FA_Assemble_1;1.68
B23_SA;SA_Cut_1;3.28
B23_SA;SA_Routing_1;0.73
B23_BP;BP_Cut_1;-63507444.77
B23_BP;BP_Drill_3;8.43
B23_FA;FA_Cut_1;4.37
B23_BP;BP_Sand_1;4.18
B23_BP;BP_Paint_1;3.12
B23_SA;SA_Drill_3;9.78
B23;Assemble_3;6.78
B23_SA;SA_Assemble_2;3.93
B23_SA;SA_Assemble_1;4.27
B23_FA;FA_Drill_1;8.2
B23_BP;BP_Cut_1;2.6
;FA_Drill_3;7.6
B23_FA;FA_Assemble_1;1.72
B23_FA;FA_Cut_2;4.52
B23_SA;SA_Cut_1;3.23
B23_SA;SA_Routing_1;0.72
B22;Attach_BP_1;1.63
;Sand_1;9.07
B23;Sand_2;11.02
B23_SA;SA_Drill_1;9.67
B23_BP;BP_Paint_2;3.48
B23_FA;FA_Drill_2;8.4
B23_BP;BP_Drill_1;8.65
B23_BP;BP_Sand_2;4.55
B23_FA;FA_Assemble_1;1.72
B23_FA;FA_Cut_1;4.53
B23_BP;BP_Cut_1;2.77
;BP_Paint_1;3.28
B23;Assemble_1;6.28
B23_SA;SA_Cut_1;3.43
B23_SA;SA_Routing_1;0.72
B23;Assemble_2;63507457.02
;FA_Assemble_1;-63507451.4
B23_FA;FA_Cut_2;4.23
B23_BP;BP_Drill_2;63507461.55
B23_BP;BP_Sand_1;4.4
;SA_Drill_2;9.28
B23_SA;SA_Assemble_1;4.15
B23_BP;BP_Cut_1;2.55
B23_BP;;8.85
B22;Attach_BP_1;1.7
B23;Sand_3;11.13
B23_BP;BP_Sand_2;4.83
B23_BP;BP_Paint_1;3.27
;FA_Cut_1;4.05
B23_SA;SA_Cut_1;3.07
B23_SA;SA_Routing_1;0.77
B23_FA;FA_Drill_3;8.13
B23_FA;FA_Assemble_1;1.82
B22;Attach_BP_1;1.7
B23_BP;BP_Cut_1;2.38
B23_FA;FA_Drill_1;6.87
B23_SA;;9.57
B23_FA;FA_Cut_2;4.55
B23_SA;;4.05
B23_BP;BP_Paint_2;3.47
B23;Sand_4;10.13
B23;Assemble_3;7.4
B23;;11.48
;FA_Assemble_1;1.8
B23;Paint_1;8.28
B22;Attach_BP_1;1.6
B23_FA;FA_Drill_2;6.6
B23_SA;SA_Cut_1;3.17
B23_SA;SA_Routing_1;0.75
B23_BP;BP_Drill_1;8.48
B23_BP;;2.87
B23_BP;BP_Sand_1;4.92
B23_SA;SA_Assemble_1;4.18
B23_SA;SA_Drill_1;9.18
B23_FA;FA_Cut_1;4.03
B23_BP;BP_Paint_1;3.5
B22;Attach_BP_1;1.55
B23_FA;FA_Assemble_1;1.72
B23;Paint_2;7.62
B23;Assemble_1;5.32
B23_BP;BP_Cut_1;2.48
B23_SA;SA_Cut_1;3.3
B23_SA;SA_Routing_1;0.72
B22;Attach_BP_1;1.7
B23_FA;FA_Cut_2;4.05
B23_BP;BP_Drill_2;7.35
B23_BP;BP_Sand_2;4.77
;SA_Drill_2;8.2
B23_SA;SA_Assemble_2;-63507462.15
B23_BP;BP_Drill_3;7.8
B23_FA;FA_Drill_1;6.82
B23;Assemble_2;7.28
B23_FA;FA_Assemble_1;1.88
B23_FA;FA_Cut_1;4.02
B23_BP;BP_Sand_1;4.83
B23_BP;BP_Paint_1;3.45
B23_FA;FA_Drill_3;7.28
B23_BP;BP_Cut_1;2.6
B23_FA;FA_Drill_2;7.68
B23_SA;SA_Cut_1;3.42
B23_SA;SA_Routing_1;0.7
B23;Sand_2;-63507464.63
;FA_Assemble_1;1.85
B23;;7.32
B23_FA;FA_Cut_2;4.17
B23_SA;SA_Drill_3;10.4
B23_BP;BP_Cut_1;2.53
B23;Sand_3;10.68
B23_SA;SA_Assemble_1;4.03
B23;Assemble_1;-63507466.5
B23_BP;BP_Drill_1;8.6
B23_BP;;4.65
B23_BP;BP_Paint_2;3.6
B23_FA;FA_Assemble_1;-63507466.9
B24_FA;FA_Cut_1;4.38
B23;Paint_1;7.67
B23_SA;SA_Cut_1;3
B23_SA;SA_Routing_1;0.73
B23_SA;SA_Assemble_2;4.02
B23_BP;BP_Paint_1;3.65
B23_SA;SA_Drill_1;63507479.57
B23_BP;BP_Cut_1;2.7
B23_BP;BP_Drill_2;8.6
B23;Paint_2;9
B23_BP;BP_Sand_1;5.13
B23_FA;FA_Drill_1;7.5
B23_FA;FA_Assemble_1;1.65
B24_FA;FA_Cut_2;4.32
B23;Sand_1;10.08
B23_BP;BP_Drill_3;9.33
B23;Assemble_2;5.78
B23_SA;SA_Assemble_1;4.47
B23_FA;FA_Drill_3;6.9
;SA_Cut_1;2.97
B23_SA;SA_Routing_1;0.75
B23_BP;BP_Sand_2;5.32
B22;Attach_BP_1;1.47
B23_BP;BP_Paint_2;3.62
B23_FA;FA_Assemble_1;1.83
B24_FA;FA_Cut_1;4.4
B23_BP;BP_Cut_1;2.45
B23_SA;SA_Drill_2;10.18
B23_FA;FA_Drill_2;7.38
B23;Assemble_3;6.88
B23;Sand_4;10.9
B22;Attach_BP_1;1.62
B23_FA;FA_Assemble_1;-63507473.55
B23_SA;SA_Cut_1;3.18
B23_SA;SA_Routing_1;0.78
B23_BP;BP_Cut_1;2.38
B24_FA;FA_Cut_2;4.4
B23_BP;BP_Paint_1;3.22
B23;Assemble_1;6.55
B22;Attach_BP_1;1.73
B23_BP;BP_Drill_1;7.58
B23_BP;BP_Sand_1;4.98
B24_FA;FA_Cut_1;4.12
;Sand_2;10.8
;Paint_1;7.87
B23_BP;BP_Cut_1;2.33
B23_SA;SA_Drill_3;10.18
B23_SA;SA_Assemble_1;3.77
;BP_Paint_2;3.55
B23_FA;FA_Drill_1;7.68
B23;;8.17
B22;Attach_BP_1;1.67
B23_FA;FA_Assemble_1;1.83
B23_SA;SA_Cut_1;3.1
B23_SA;SA_Routing_1;0.73
B23_BP;BP_Drill_2;-63507477.62
B23_FA;FA_Drill_3;-63507477.65
B23_BP;BP_Sand_2;4.1
B24_FA;FA_Cut_2;4.43
B23_BP;BP_Cut_1;2.52
B23;;10.87
B22;Attach_BP_1;1.63
B23_FA;FA_Assemble_1;1.68
B24_FA;FA_Drill_2;8.75
B23_BP;BP_Drill_3;7.45
B23_SA;SA_Drill_1;10.55
B23_SA;SA_Assemble_2;-63507479.77
;BP_Sand_1;5.25
B23;Paint_2;8.3
B24_FA;FA_Cut_1;4.4
B23_BP;BP_Paint_1;3.9
B23_SA;SA_Cut_1;3.53
B23_SA;SA_Routing_1;0.78
B23;Assemble_2;6.17
;Attach_BP_1;1.62
B23_FA;FA_Assemble_1;-63507481.13
B23_BP;BP_Cut_1;2.43
B23;Sand_1;9.35
B23_BP;;3.13
B23_SA;SA_Drill_2;10.48
B23_SA;SA_Assemble_1;4.15
B23_BP;BP_Drill_1;8.83
B23_BP;BP_Sand_2;4.52
B22;Attach_BP_1;1.72
B24_FA;FA_Cut_2;4.13
B23_BP;BP_Cut_1;2.57
B23_SA;SA_Cut_1;3.15
B23_SA;SA_Routing_1;0.68
B23;Assemble_1;6.12
B23;Paint_1;8.12
B24_FA;FA_Drill_1;8
B24_FA;FA_Cut_1;4.18
B23_FA;FA_Assemble_1;1.88
B22;Attach_BP_1;-63507485
B24_FA;FA_Drill_3;8.9
B23_BP;BP_Paint_1;3.85
;Assemble_3;6.23
B24_BP;BP_Cut_1;2.67
B23_SA;SA_Drill_3;8.83
B23;Sand_4;10.32
B23_BP;BP_Drill_2;8.73
B23_BP;BP_Sand_1;4.98
B22;Attach_BP_1;1.62
B23_SA;SA_Assemble_1;4.1
B23_FA;FA_Assemble_1;1.78
B23_BP;BP_Drill_3;9.08
B23;Paint_3;8.48
B23_SA;SA_Cut_1;3.17
B23_SA;SA_Routing_1;63507487.98
B23_BP;BP_Sand_2;4.37
B24_FA;FA_Cut_2;4.38
B23_BP;BP_Paint_2;3.75
B24_FA;FA_Drill_2;7.9
B22;;56.73
B22;Attach_BP_1;1.52
B24_FA;FA_Assemble_1;1.7
B24_FA;FA_Cut_1;4.38
B24_BP;BP_Cut_1;2.68
B23;Paint_2;63507497.45
B23_SA;SA_Drill_1;8.5
B23_SA;;63507494.43
B23;;11.25
B23_SA;SA_Cut_1;3.27
B23_SA;SA_Routing_1;0.73
B23;Assemble_1;6.32
B22;Attach_BP_1;1.73
B23_BP;BP_Drill_1;8.87
B23_BP;BP_Sand_2;-63507491.85
B23_BP;BP_Paint_1;3.3
B24_FA;FA_Cut_2;4.73
B23_BP;BP_Paint_2;3.52
B24_BP;BP_Cut_1;2.5
B23_SA;SA_Drill_2;9.97
B23;Paint_1;7.53
B23_SA;SA_Assemble_1;3.72
B24_FA;FA_Drill_1;9.15
B23;Sand_1;10.57
B24_FA;FA_Assemble_1;1.88
B24_FA;FA_Cut_1;4.2
B23_SA;SA_Cut_1;3.1
B23_SA;SA_Routing_1;0.7
B24_FA;FA_Drill_3;9
B23;Assemble_2;5.68
B24_BP;BP_Cut_1;2.62
B24_FA;FA_Assemble_1;-63507495.08
B24_BP;BP_Drill_2;10.62
B22;Attach_BP_1;-63507495.67
B23_BP;BP_Sand_1;4.68
B23_SA;SA_Drill_3;9.1
B23_SA;SA_Assemble_2;3.95
B24_FA;FA_Drill_2;7.93
B24_BP;BP_Drill_3;10.8
B23;Assemble_3;5.93
B23_BP;;4.33
B23_BP;BP_Paint_1;3.53
B24_FA;;4.25
B23_SA;;-63507497.08
B23_SA;SA_Routing_1;0.7
B24_FA;FA_Assemble_1;1.8
B23;Paint_3;7.63
B22;Attach_BP_1;1.62
B24_BP;BP_Cut_1;2.63
B23;Sand_3;11.18
;FA_Cut_1;4.73
B23_SA;SA_Drill_1;9.72
B23_SA;SA_Assemble_1;4.33
B22;Attach_BP_1;1.6
B23;Assemble_1;6.42
B24_BP;BP_Cut_1;2.9
B23;Sand_4;-63507500.3
B23_SA;SA_Cut_1;2.92
;SA_Routing_1;0.72
B23_BP;BP_Paint_1;3.43
B24_BP;BP_Drill_1;10.58
B23_BP;BP_Sand_1;4.88
B23_BP;BP_Paint_2;3.67
B24_FA;FA_Cut_2;4.2
B22;Attach_BP_1;1.6
B23;Paint_1;8.18
B24_FA;;9
B24_FA;FA_Assemble_1;1.97
B23_SA;SA_Drill_2;10.03
;Sand_2;11.82
B23_SA;SA_Assemble_2;-63507502.7
B24_FA;FA_Cut_1;4.2
B24_FA;FA_Drill_3;63507512.38
B24_BP;BP_Cut_1;2.5
B22;Attach_BP_1;1.63
B23;;6.55
B23_SA;SA_Cut_1;3.18
B23_SA;SA_Routing_1;0.75
B23;Paint_2;8.05
B24_FA;FA_Drill_2;9.4
B24_FA;FA_Assemble_1;1.87
B23_SA;SA_Drill_3;10.85
B23_SA;SA_Assemble_1;4.4
B22;Attach_BP_1;1.68
B24_FA;FA_Cut_2;4.23
B23_BP;BP_Paint_1;3.45
B24_BP;BP_Cut_1;2.43
B24_BP;BP_Drill_2;11.33
B24_BP;BP_Sand_1;6.1
B24_FA;FA_Assemble_1;1.82
B23;Sand_1;11.65
B24_SA;SA_Cut_1;4.5
B23_SA;SA_Routing_1;0.78
B23;Assemble_1;6.53
B24_FA;FA_Cut_1;4.88
B24_BP;;10.83
B22;Attach_BP_1;1.67
B24_BP;BP_Sand_2;6.47
B24_BP;BP_Cut_1;2.4
B23_SA;SA_Drill_1;10.57
B23_SA;SA_Assemble_2;-63507508.63
B23;Paint_3;8.45
B22;;1.57
B23;Assemble_3;6.72
B24_FA;FA_Cut_2;-63507509.83
B23;Sand_3;11.43
B24_BP;BP_Cut_1;2.47
B24_FA;FA_Drill_1;9.08
B23;Paint_1;8.1
B24_SA;SA_Routing_1;0.93
